ID     dec  year mo dy hr name       allLat     allLon     midLat     midLon     firstLat   firstLon   lastLat    lastLon
187201 1870 1872  7  9  0 NOT NAMED   29.059376 -89.883546  25.502245 -90.934249  24.325287 -91.651353  33.300616 -89.102790
187205 1870 1872 10 22  0 NOT NAMED   34.468700 -77.931369  31.782704 -78.893896  24.454350 -87.782819  43.377075 -66.007522
187301 1870 1873  6  1  6 NOT NAMED   28.313135 -79.961541  28.313135 -79.961541  26.325016 -78.626019  30.364727 -81.002576
187303 1870 1873  9 18  0 NOT NAMED   28.942671 -83.945638  28.942671 -83.945638  24.100524 -89.578397  33.734457 -75.833161
187304 1870 1873  9 22  0 NOT NAMED   28.469935 -81.340493  25.633705 -84.280765  23.650622 -85.653392  33.946374 -74.934017
187305 1870 1873  9 26  0 NOT NAMED   23.375518 -76.931884  18.011238 -72.408878  14.952363 -63.623886  40.262104 -62.263855
187401 1870 1874  7  2  0 NOT NAMED   27.695460 -91.067445  27.089050 -87.962617  26.452514 -86.246375  28.629313 -96.319537
187404 1870 1874  9  2  0 NOT NAMED   25.950937 -97.294870  23.688797 -96.906872  20.950399 -95.123957  31.375017 -98.400586
187406 1870 1874  9 25  0 NOT NAMED   30.763669 -81.595015  31.902032 -80.841516  18.275891 -87.248155  47.104905 -66.730852
187503 1870 1875  9  8  0 NOT NAMED   21.838425 -77.636733  27.370892 -94.788752  13.953261 -56.974751  30.863407 -92.583790
187504 1870 1875  9 24  0 NOT NAMED   27.760968 -90.596854  25.765607 -93.992592  24.251327 -94.271646  30.303614 -85.379938
187602 1870 1876  9 12  0 NOT NAMED   27.071554 -72.397879  17.984493 -62.859408  17.829659 -60.324068  42.512226 -72.239802
187605 1870 1876 10 12  0 NOT NAMED   21.710596 -78.020037  21.513046 -81.783915  12.300000 -79.000000  33.982223 -63.927345
187702 1870 1877  9 14  0 NOT NAMED   27.928005 -90.232447  27.488376 -94.903456  22.126115 -92.747817  31.335023 -79.126816
187704 1870 1877  9 21  0 NOT NAMED   21.448400 -77.736262  29.181910 -85.920209  11.728143 -57.199806  41.447526 -70.779074
187707 1870 1877 10 24  0 NOT NAMED   29.272733 -85.846156  30.456398 -80.077091  25.900062 -94.000893  33.041172 -70.705168
187801 1870 1878  7  1  0 NOT NAMED   26.631760 -82.260420  26.631760 -82.260420  25.477412 -86.225564  28.358065 -77.635970
187805 1870 1878  9  1  0 NOT NAMED   23.778753 -75.246697  28.339102 -82.766811   8.953284 -56.298252  40.250992 -79.194890
187808 1870 1878 10  9  0 NOT NAMED   37.641211 -71.400617  34.369549 -76.486698  25.000737 -90.778867  45.560909 -39.100169
187811 1870 1878 10 18  0 NOT NAMED   28.621180 -77.244329  21.725522 -82.028031  17.775395 -80.199181  39.916272 -62.279532
187902 1870 1879  8 13  0 NOT NAMED   29.328210 -68.705968  30.566176 -77.132770  19.004008 -59.574986  48.612400 -56.726999
187903 1870 1879  8 19  0 NOT NAMED   25.531480 -89.885646  26.676241 -93.687758  17.328043 -82.572089  35.609069 -90.841457
187904 1870 1879  8 29  0 NOT NAMED   27.389157 -90.182458  27.612672 -91.412158  23.850297 -88.924374  32.981860 -89.019658
187905 1870 1879 10  3  0 NOT NAMED   22.819587 -84.764930  24.092213 -86.597370  15.827474 -79.019882  30.376399 -89.662991
187906 1870 1879 10  9  0 NOT NAMED   20.633073 -75.559104  15.998466 -70.860067  14.279411 -57.899476  30.727950 -86.760257
187907 1870 1879 10 24  0 NOT NAMED   28.502504 -81.891119  38.398158 -70.809733  20.825804 -85.323397  43.420245 -63.334241
188001 1880 1880  6 21  0 NOT NAMED   28.036260 -92.135109  28.036260 -92.135109  26.927167 -87.598696  29.000635 -96.073669
188002 1880 1880  8  4  0 NOT NAMED   21.456098 -84.321959  25.462070 -96.446379  16.010829 -62.774602  29.275791 -100.921642
188004 1880 1880  8 24  0 NOT NAMED   28.312284 -75.032905  26.976635 -70.279391  24.954780 -59.123269  32.526084 -88.570448
188006 1880 1880  9  6  0 NOT NAMED   33.685297 -78.220694  32.946386 -79.523108  24.400484 -88.151150  45.033832 -57.960861
188009 1880 1880 10  5  0 NOT NAMED   26.198423 -81.956715  25.904398 -85.316364  18.850803 -85.823304  32.524290 -69.100166
188101 1880 1881  8  1  0 NOT NAMED   27.389704 -87.214304  28.101574 -87.538885  23.775273 -85.898673  31.125147 -88.523611
188102 1880 1881  8 11 12 NOT NAMED   27.186850 -94.257126  27.186850 -94.257126  25.628681 -90.074698  29.401668 -98.043846
188105 1880 1881  8 21  0 NOT NAMED   25.547041 -72.895606  28.357073 -77.943528  17.677972 -58.474799  33.609438 -88.310290
188106 1880 1881  9  7  0 NOT NAMED   33.195865 -74.046406  31.707422 -76.163045  25.579513 -70.511773  40.235846 -71.171290
188202 1880 1882  9  2  0 NOT NAMED   27.696514 -79.297015  29.572557 -87.072798  20.027602 -68.847224  44.343153 -62.894262
188203 1880 1882  9 14  0 NOT NAMED   29.095964 -93.211533  28.793174 -92.957463  27.425322 -91.872928  30.676236 -94.646603
188204 1880 1882  9 21  0 NOT NAMED   33.992573 -76.568417  32.812873 -77.344085  29.625383 -77.247336  38.907854 -74.678189
188206 1880 1882 10  5  0 NOT NAMED   26.535257 -79.259791  21.100218 -83.595299  14.800076 -81.899633  37.378754 -66.453830
188303 1880 1883  9  4  0 NOT NAMED   25.372188 -73.216521  25.372188 -73.216521  14.528756 -59.722785  37.575372 -77.729972
188403 1880 1884  9 10  0 NOT NAMED   33.949159 -70.920982  28.244675 -74.681540  30.001785 -80.168999  50.478079 -31.990145
188502 1880 1885  8 21  0 NOT NAMED   32.589049 -70.458251  28.788666 -80.114995  21.332886 -69.148611  49.403737 -41.717879
188503 1880 1885  8 29  0 NOT NAMED   28.843059 -88.453353  27.617590 -91.391247  26.275491 -93.227452  31.095909 -82.366275
188504 1880 1885  9 17  0 NOT NAMED   30.301343 -88.360706  38.841192 -72.147707  22.125582 -96.147794  43.261495 -68.292328
188506 1880 1885  9 24  0 NOT NAMED   30.314886 -85.115057  33.325839 -76.625296  26.875044 -87.949635  34.179652 -75.762016
188508 1880 1885 10 10 12 NOT NAMED   32.214991 -81.335827  27.263154 -83.354955  25.200378 -83.447290  39.726194 -77.738033
188601 1880 1886  6 13  6 NOT NAMED   28.338130 -93.830035  29.063070 -93.905602  25.200076 -95.849388  31.008667 -91.053467
188602 1880 1886  6 17  0 NOT NAMED   29.201322 -81.221836  24.138142 -85.029159  19.775147 -85.149320  40.151872 -63.617364
188603 1880 1886  6 27 12 NOT NAMED   27.245956 -82.249717  25.216560 -85.585198  19.525379 -80.172984  36.608144 -77.372052
188604 1880 1886  7 14  6 NOT NAMED   34.221129 -70.685012  33.308874 -74.314099  19.275631 -83.574243  54.522989 -22.371539
188605 1880 1886  8 12  6 NOT NAMED   21.830611 -78.380580  27.518004 -94.791566  11.476721 -59.347325  31.628136 -100.137672
188608 1880 1886  9 16  0 NOT NAMED   23.538260 -86.050221  22.374221 -91.421096  21.004663 -67.174995  28.875127 -97.301425
188610 1880 1886 10  8  0 NOT NAMED   25.874057 -87.697666  27.718667 -89.918499  20.550551 -83.123603  31.675378 -93.428224
188703 1880 1887  6 11 12 NOT NAMED   25.879285 -87.055557  22.746698 -85.787558  21.576481 -84.971036  30.500058 -88.698722
188704 1880 1887  7 20  0 NOT NAMED   19.824120 -77.391887  14.041602 -70.718710  12.230939 -60.048717  32.601054 -85.154028
188709 1880 1887  9 11 12 NOT NAMED   20.198499 -81.042702  14.220881 -67.320606  13.403142 -58.724651  25.576345 -98.701955
188713 1880 1887 10  9  6 NOT NAMED   25.608072 -80.627985  20.075589 -77.702865  19.231370 -61.724267  41.470598 -70.224890
188716 1880 1887 10 29 12 NOT NAMED   44.015905 -57.045866  36.279563 -71.307946  27.660081 -83.763737  50.295924  -5.667460
188801 1880 1888  6 16  0 NOT NAMED   29.130163 -95.479026  28.366453 -94.906702  27.851316 -93.998501  30.650049 -96.649693
188802 1880 1888  7  4 12 NOT NAMED   28.589318 -95.239163  27.400597 -95.112854  26.750402 -94.898241  30.500019 -95.525879
188803 1880 1888  8 14 12 NOT NAMED   34.437916 -78.619922  25.339437 -78.662275  23.555570 -72.745720  53.504606 -54.481039
188805 1880 1888  9  6  6 NOT NAMED   32.504876 -77.285058  29.351286 -82.186604  24.156572 -73.619538  43.728413 -68.513521
188806 1880 1888  9 23 12 NOT NAMED   34.589830 -75.107337  37.539039 -73.048192  26.026676 -80.007460  45.508339 -67.018733
188807 1880 1888 10  8 12 NOT NAMED   29.631176 -84.049935  27.947797 -84.970850  22.627668 -92.179769  39.366319 -72.164341
188902 1880 1889  6 15  0 NOT NAMED   30.466260 -79.080888  22.115504 -84.635735  20.925330 -84.148175  40.440359 -65.419403
188906 1880 1889  9 12  0 NOT NAMED   24.076585 -81.282069  19.213890 -86.083105  15.679580 -61.375229  44.670939 -67.671049
188909 1880 1889 10  5  6 NOT NAMED   43.977136 -68.638071  31.737800 -76.470184  22.475953 -81.757635  59.852548 -56.504499
189002 1890 1890  8 18 12 NOT NAMED   19.618076 -78.435883  18.109696 -81.202984  14.276669 -63.199246  30.750386 -90.583863
189101 1890 1891  7  3  6 NOT NAMED   28.279436 -93.682934  23.876639 -94.317343  22.250350 -93.398907  34.385002 -90.308984
189103 1890 1891  8 18 12 NOT NAMED   21.274802 -71.805572  14.963126 -61.653998  14.306043 -60.244237  26.055210 -83.148360
